Customer_ID,Age,Account_Balance,Monthly_Spending,Investment_Portfolio_Value,Risk_Score,Sector_Exposure,High_Value_Transactions,Loan_Amount,Credit_Score,Investment_Return_Rate,Predicted_Risk,Suggested_Product,Preferred_Sector,Investment_Horizon,Global_Event_Impact,Engagement_Score,Profitability_Score
CUST6686,56,34961.98,2134.29,24777.91,High,Utilities,7,14518.81,694,0.03,High,Pension Fund,Real Estate,Long-Term,Moderate,65,Medium
CUST2117,56,49682.93,625.84,60141.38,Medium,"Energy, Technology",0,15374.94,368,5.31,Low,Pension Fund,Healthcare,Medium-Term,Moderate,79,High
CUST5674,21,36075.2,9515.61,46998.96,High,"Utilities, Materials, Healthcare",4,26392.27,768,3.45,Medium,Credit Card,Materials,Short-Term,Moderate,70,High
CUST1047,61,44207.68,1273.47,94250.09,Medium,Materials,2,28110.2,779,0.72,Medium,Investment Account,Industrials,Medium-Term,Moderate,74,Low
CUST3357,34,16247.13,2883.38,52947.15,High,Technology,7,14472.99,844,7.89,Low,Retirement Plan,Industrials,Medium-Term,High,93,Low
CUST9316,51,38564.7,1078.85,98440.54,Medium,Materials,5,17795.99,816,0.77,Medium,Pension Fund,Consumer Goods,Medium-Term,Low,96,High
CUST9021,29,17702.52,1196.94,24004.14,High,"Real Estate, Utilities, Energy",10,17069.83,734,2.89,Medium,Pension Fund,Real Estate,Medium-Term,Low,87,High
CUST9395,55,13371.34,5198.08,72636.34,Low,"Healthcare, Real Estate, Materials",10,26308.23,622,6.35,Medium,Retirement Plan,Industrials,Short-Term,Moderate,82,Medium
CUST9099,51,49748.19,4066.38,59396.93,High,"Materials, Healthcare, Technology",10,464.98,811,3.16,High,Credit Card,Healthcare,Medium-Term,Moderate,90,Low
CUST2342,56,11775.18,7215.49,53768.74,High,"Consumer Goods, Utilities",6,24294.05,642,6.17,High,Wealth Management,Consumer Goods,Long-Term,Low,51,Low
CUST8146,69,45247.02,3153.13,15207.93,High,Energy,4,29163.01,779,1.78,Medium,Investment Account,Energy,Short-Term,Low,74,High
CUST9468,68,12855.58,7814.78,49881.19,Medium,Technology,9,2111.72,371,3.96,Low,Retirement Plan,Real Estate,Long-Term,High,86,Low
CUST2097,21,42446.65,3031.64,99273.67,Low,"Healthcare, Energy, Real Estate",3,5097.43,694,2.72,Medium,Investment Account,Industrials,Medium-Term,Low,85,Medium
